ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
69.22.163.bfc,2012-02-12,00:00:01,500.0,1072962.0,0001181431-11-040724,-index.htm,200.0,7858.0,1.0,1.0,1.0,0.0,0.0,
69.22.163.bfc,2012-02-12,00:00:01,500.0,1191772.0,0000714603-09-000045,.txt-index.htm,200.0,6870.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,1465836.0,0001209191-09-042438,.txt-index.htm,200.0,9036.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,1267092.0,0001219998-09-000054,.txt-index.htm,200.0,6683.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,868648.0,0000928816-09-000899,.txt-index.htm,200.0,14237.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,1191772.0,0000714603-09-000045,.txt-index.htm,200.0,6870.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,904979.0,0001102624-09-000409,.txt-index.htm,200.0,6239.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,27673.0,0001104659-09-052258,.txt-index.htm,200.0,6988.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,778108.0,0001206774-09-001649,.txt-index.htm,200.0,12572.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,1262059.0,0001262059-09-000001,.txt-index.htm,200.0,6671.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,1341997.0,0001013762-09-001603,.txt-index.htm,200.0,6332.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,734383.0,0000932471-09-001550,.txt-index.htm,200.0,7251.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,832473.0,0000832473-09-000015,.txt-index.htm,200.0,7198.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,868648.0,0000928816-09-000899,.txt-index.htm,200.0,14237.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,1465836.0,0001209191-09-042438,.txt-index.htm,200.0,9036.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,1100663.0,0001193125-09-183934,.txt-index.htm,200.0,63001.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.bfc,2012-02-12,00:00:01,500.0,1072962.0,0001181431-11-040724,-index.htm,200.0,7858.0,1.0,1.0,1.0,0.0,0.0,
69.22.163.bfc,2012-02-12,00:00:01,500.0,1267092.0,0001219998-09-000054,.txt-index.htm,200.0,6683.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,906223.0,0000906223-09-000029,.txt-index.htm,200.0,7929.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,107606.0,0000932471-09-001583,.txt-index.htm,200.0,7171.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,4904.0,0000004904-09-000125,.txt-index.htm,200.0,5557.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,1383148.0,0001193125-08-065241,.txt,200.0,709136.0,0.0,1.0,1.0,0.0,0.0,
69.22.163.dff,2012-02-12,00:00:01,500.0,4904.0,0000004904-09-000125,.txt-index.htm,200.0,5557.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,750813.0,0001181431-09-041627,.txt-index.htm,200.0,5901.0,1.0,1.0,0.0,0.0,0.0,chr
69.22.163.dff,2012-02-12,00:00:01,500.0,1383148.0,0001193125-08-065241,.txt,200.0,709136.0,0.0,1.0,1.0,0.0,0.0,
69.22.163.dff,2012-02-12,00:00:01,500.0,1121484.0,0001198828-09-000001,.txt-index.htm,200.0,6659.0,1.0,1.0,0.0,0.0,0.0,chr
